시설명,지역,시설구분,전기차 충전소,수소차 충전소
강릉(강릉),강원,휴게소,O,X
강릉(인천),강원,휴게소,O,X
강천산(광주),전북,휴게소,O,X
강천산(대구),전북,휴게소,O,X
거창(광주),경남,휴게소,O,X
거창(대구),경남,휴게소,O,X
건천(부산),경북,휴게소,O,X
건천(서울),경북,휴게소,O,X
경산(서울),경북,휴게소,O,X
경주(부산),경북,휴게소,O,X
고성공룡나라(대전),경남,휴게소,O,X
고성공룡나라(통영),경남,휴게소,O,X
고창고인돌(목포),전북,휴게소,O,X
고창고인돌(서울),전북,휴게소,O,X
곡성(순천),전남,휴게소,O,X
곡성(천안),전남,휴게소,O,X
공주(당진),충남,휴게소,O,X
공주(대전),충남,휴게소,O,X
관촌(광양),전북,간이(주차장),O,X
관촌(전주),전북,간이(주차장),O,X
괴산(양평),충북,휴게소,O,X
괴산(창원),충북,휴게소,O,X
구리(일산),경기,휴게소,O,X
구리남양주행복드림쉼터,경기,행복드림쉼터,O,X
구정(삼척),강원,휴게소,O,X
구정(속초),강원,휴게소,O,X
군산(목포),전북,휴게소,O,X
군산(서울),전북,휴게소,O,X
군위(부산),경북,휴게소,O,X
군위(춘천),경북,휴게소,O,X
금강(부산),충북,휴게소,O,X
금산인삼랜드(대전),충남,휴게소,O,X
금산인삼랜드(통영),충남,휴게소,O,X
금왕(제천),충북,휴게소,O,X
금왕(평택),충북,휴게소,O,X
기흥(부산),경기,휴게소,O,O
김천(부산),경북,휴게소,O,X
김천(서울),경북,휴게소,O,O
김포졸음쉼터외측,경기,졸음쉼터,O,X
김해금관가야,경남,휴게소,O,X
남성주참외(양평),경북,휴게소,O,X
남성주참외(창원),경북,휴게소,O,X
남원(광주),전북,간이(주차장),O,X
남원(대구),전북,간이(주차장),O,X
남한강,경기,휴게소,X,X
내린천,강원,휴게소,O,O
논공(광주),대구,휴게소,O,X
논공(대구),대구,휴게소,O,X
단양팔경(부산),충북,휴게소,O,X
단양팔경(춘천),충북,휴게소,O,X
대천(목포),충남,휴게소,O,X
대천(서울),충남,휴게소,O,O
덕유산(대전),전북,휴게소,O,O
덕유산(통영),전북,휴게소,O,X
덕평,경기,휴게소,O,O
동명(부산),경북,휴게소,O,X
동명(춘천),경북,휴게소,O,X
동해(삼척),강원,휴게소,O,O
마장,경기,휴게소,O,X
망향(부산),충남,휴게소,O,O
매송(목포),경기,휴게소,O,X
매송(서울),경기,휴게소,O,X
문경(양평),경북,휴게소,O,O
문경(창원),경북,휴게소,O,X
문막(강릉),강원,휴게소,O,O
문막(인천),강원,휴게소,O,X
문산(순천),경남,휴게소,O,X
문의청남대(영덕),충북,휴게소,O,X
문의청남대(청주),충북,휴게소,O,X
백양사(순천),전남,휴게소,O,X
백양사(천안),전남,휴게소,O,O
벌곡(논산),충남,휴게소,O,X
벌곡(대전),충남,휴게소,O,X
보성녹차(순천),전남,휴게소,O,X
보성녹차(영암),전남,휴게소,O,X
부안고려청자(목포),전북,휴게소,O,X
부안고려청자(서울),전북,휴게소,O,X
부여백제(공주),충남,휴게소,O,X
부여백제(서천),충남,휴게소,O,X
사천(부산),경남,휴게소,O,X
사천(순천),경남,휴게소,O,X
산청(대전),경남,휴게소,O,X
산청(통영),경남,휴게소,O,X
서부산(순천),부산,휴게소,O,X
서산(목포),충남,휴게소,O,X
서산(서울),충남,휴게소,O,X
서서울(서울)졸음쉼터,경기,졸음쉼터,O,X
서여주(양평),경기,휴게소,O,X
서여주(창원),경기,휴게소,O,X
서울만남(부산),서울,휴게소,O,X
서천(목포),충남,휴게소,O,X
서천(서울),충남,휴게소,O,X
서하남행복드림쉼터,경기,행복드림쉼터,O,X
선산(양평),경북,휴게소,O,X
선산(창원),경북,휴게소,O,X
섬진강(부산),전남,휴게소,O,X
섬진강(순천),전남,휴게소,O,X
성남졸음쉼터,경기,졸음쉼터,O,X
성주(양평),경북,휴게소,O,O
성주(창원),경북,휴게소,O,O
속리산(청주),충북,휴게소,O,O
순천(순천),전남,휴게소,O,X
시흥하늘,경기,휴게소,O,X
신탄진(서울),대전,휴게소,O,O
신풍(당진),충남,간이(주차장),O,X
신풍(대전),충남,간이(주차장),O,X
안동(부산),경북,휴게소,O,X
안동(춘천),경북,휴게소,O,O
안산,경기,휴게소,O,X
안성(부산),경기,휴게소,O,O
안성(서울),경기,휴게소,O,O
안성맞춤(제천),경기,휴게소,O,O
안성맞춤(평택),경기,휴게소,O,X
양산(서울),경남,휴게소,O,X
언양(서울),울산,휴게소,O,O
여산(순천),전북,휴게소,O,X
여산(천안),전북,휴게소,X,X
여주(강릉),경기,휴게소,O,O
여주(인천),경기,휴게소,O,X
영광(목포),전남,간이(주차장),O,X
영산(창원),경남,휴게소,O,X
영천(대구),경북,휴게소,O,X
영천(포항),경북,휴게소,O,X
예산(당진),충남,휴게소,O,X
예산(대전),충남,휴게소,O,X
오수(순천),전북,휴게소,O,X
오수(완주),전북,휴게소,O,O
오창(남이),충북,휴게소,O,X
오창(하남),충북,휴게소,O,X
옥계(속초),강원,휴게소,O,X
옥산(부산),충북,휴게소,O,X
옥천(부산),충북,휴게소,O,X
옥천(서울),충북,휴게소,O,X
옥천만남,충북,휴게소,O,X
와촌(포항),경북,휴게소,O,X
완주(익산),전북,간이(주차장),O,X
완주(장수),전북,간이(주차장),O,X
외동(부산),경북,휴게소,O,X
외동(포항),경북,휴게소,O,X
용인(강릉),경기,휴게소,O,X
용인(인천),경기,휴게소,O,X
울주(울산),울산,휴게소,O,X
울주(함양),울산,휴게소,O,X
원주(부산),강원,휴게소,O,X
원주(춘천),강원,휴게소,O,X
음성(남이),충북,휴게소,O,O
음성(하남),충북,휴게소,O,O
의성(영덕),경북,휴게소,O,X
의성(청주),경북,휴게소,O,X
의왕(일산),경기,간이(주차장),O,X
이서(순천),전북,휴게소,O,X
이서(천안),전북,휴게소,O,X
이천(남이),경기,휴게소,O,X
이천쌀(하남),경기,휴게소,O,X
입장거봉포도(서울),충남,휴게소,O,O
장유(서부산),경남,휴게소,O,X
장흥정남진,전남,휴게소,O,O
정읍녹두장군(순천),전북,휴게소,O,X
정읍녹두장군(천안),전북,휴게소,O,X
주암(순천),전남,휴게소,O,X
주암(천안),전남,휴게소,O,X
죽암(부산),충북,휴게소,O,X
죽암(서울),충북,휴게소,O,X
죽전(서울),경기,휴게소,O,X
지리산(광주),전북,휴게소,O,X
지리산(대구),전북,휴게소,O,X
진안마이산(익산),전북,휴게소,O,X
진안마이산(장수),전북,휴게소,O,X
진영(부산),경남,휴게소,O,X
진영(순천),경남,휴게소,O,X
진주(부산),경남,휴게소,O,X
천등산(제천),충북,휴게소,O,X
천등산(평택),충북,휴게소,O,X
천안삼거리(서울),충남,휴게소,O,X
천안호두(부산),충남,휴게소,O,X
청송(영덕),경북,휴게소,O,X
청송(청주),경북,휴게소,O,X
청주(서울),충북,휴게소,O,O
청통(대구),경북,휴게소,O,X
추풍령(부산),경북,휴게소,O,X
추풍령(서울),경북,휴게소,O,X
춘천(부산),강원,휴게소,O,O
춘향(순천),전북,휴게소,O,X
춘향(완주),전북,휴게소,O,X
충주(양평),충북,휴게소,O,X
충주(창원),충북,휴게소,O,O
치악(부산),강원,휴게소,O,X
치악(춘천),강원,휴게소,O,X
칠곡(부산),경북,휴게소,O,O
칠곡(서울),경북,휴게소,O,X
칠서(양평),경남,휴게소,O,X
통도사(부산),경남,휴게소,O,X
평사(부산),경북,휴게소,O,X
평창(강릉),강원,휴게소,O,X
평창(인천),강원,휴게소,O,X
평택,경기,휴게소,O,O
하남드림,경기,휴게소,O,O
함안(부산),경남,휴게소,O,O
함안(순천),경남,휴게소,O,X
함양(대전),경남,휴게소,O,X
함양(통영),경남,휴게소,O,X
함평나비(광주),전남,휴게소,O,X
함평나비(무안),전남,휴게소,O,X
함평천지(목포),전남,휴게소,O,O
함평천지(서울),전남,휴게소,O,X
행담도,충남,휴게소,O,O
현풍(대구),대구,휴게소,O,X
현풍(창원),대구,휴게소,O,X
홍성(목포),충남,휴게소,O,X
홍성(서울),충남,휴게소,O,X
홍천(서울),강원,휴게소,O,X
홍천(양양),강원,휴게소,O,X
홍천강(춘천),강원,휴게소,O,X
화서(영덕),경북,휴게소,O,X
화성(목포),경기,휴게소,O,O
화성(서울),경기,휴게소,O,X
황간(부산),충북,휴게소,O,X
황간(서울),충북,휴게소,O,X
황전(순천),전남,휴게소,O,X
황전(완주),전남,휴게소,O,X
횡성(강릉),강원,휴게소,O,X
횡성(인천),강원,휴게소,O,X
